Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Feb 9, 2023",FRISCH AUF! Göppingen,HC Erlangen,31 - 25,19,https://www.daikin-hbl.de/en/match/42677cd1-3961-11ef-82bc-1fafd93a56d6
"Feb 9, 2023",GWD Minden,Rhein-Neckar Löwen,29 - 40,19,https://www.daikin-hbl.de/en/match/429e1d26-3961-11ef-aed2-1fafd93a56d6
"Feb 9, 2023",VfL Gummersbach,TBV Lemgo Lippe,28 - 29,20,https://www.daikin-hbl.de/en/match/43457e09-3961-11ef-8e89-1fafd93a56d6
"Dec 27, 2022",SG Flensburg-Handewitt,HSG Wetzlar,34 - 24,18,https://www.daikin-hbl.de/en/match/41bad3e0-3961-11ef-9188-1fafd93a56d6
"Dec 27, 2022",TSV Hannover-Burgdorf,Bergischer HC,30 - 32,18,https://www.daikin-hbl.de/en/match/41db8699-3961-11ef-b9f9-1fafd93a56d6
"Dec 27, 2022",Füchse Berlin,SC DHfK Leipzig,28 - 22,18,https://www.daikin-hbl.de/en/match/41f950ac-3961-11ef-bda5-1fafd93a56d6
"Dec 27, 2022",HC Erlangen,TVB Stuttgart,31 - 28,18,https://www.daikin-hbl.de/en/match/4217af3b-3961-11ef-9133-1fafd93a56d6
"Dec 27, 2022",VfL Gummersbach,Handball Sport Verein Hamburg,31 - 30,18,https://www.daikin-hbl.de/en/match/42268c8b-3961-11ef-8344-1fafd93a56d6
"Dec 26, 2022",THW Kiel,GWD Minden,36 - 29,18,https://www.daikin-hbl.de/en/match/41aac942-3961-11ef-978a-1fafd93a56d6
"Dec 26, 2022",MT Melsungen,TBV Lemgo Lippe,20 - 19,18,https://www.daikin-hbl.de/en/match/420935b0-3961-11ef-92c0-1fafd93a56d6
"Dec 26, 2022",Rhein-Neckar Löwen,ASV Hamm-Westfalen,37 - 27,18,https://www.daikin-hbl.de/en/match/41ea6c6f-3961-11ef-b1b1-1fafd93a56d6
"Dec 26, 2022",SC Magdeburg,FRISCH AUF! Göppingen,33 - 29,18,https://www.daikin-hbl.de/en/match/41cbc69f-3961-11ef-b95c-1fafd93a56d6
"Dec 18, 2022",SC DHfK Leipzig,Bergischer HC,27 - 32,17,https://www.daikin-hbl.de/en/match/414df9e8-3961-11ef-aa55-1fafd93a56d6
