Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link, victoria_local
"Feb 27, 2025",TVB Stuttgart,TBV Lemgo Lippe,23 - 26,21,https://www.daikin-hbl.de/en/match/57d50d25-4374-11ef-b0ef-1dc999edcc18
"Feb 27, 2025",Handball Sport Verein Hamburg,VfL Gummersbach,30 - 37,21,https://www.daikin-hbl.de/en/match/5916b300-4374-11ef-95c2-1dc999edcc18
"Feb 26, 2025",Rhein-Neckar Löwen,FRISCH AUF! Göppingen,29 - 28,21,https://www.daikin-hbl.de/en/match/57360ecf-4374-11ef-ba16-07b53bf1eaa1
"Feb 23, 2025",FRISCH AUF! Göppingen,SC Magdeburg,25 - 28,20,https://www.daikin-hbl.de/en/match/4dbaa3c0-4374-11ef-b612-1d6cfab56afd
"Feb 23, 2025",Füchse Berlin,SG Flensburg-Handewitt,36 - 31,20,https://www.daikin-hbl.de/en/match/4f36ff5e-4374-11ef-b17f-95e83344d76f
"Feb 22, 2025",MT Melsungen,TVB Stuttgart,35 - 29,20,https://www.daikin-hbl.de/en/match/4e0d143f-4374-11ef-87b2-1d6cfab56afd
"Feb 22, 2025",TSV Hannover-Burgdorf,HSG Wetzlar,34 - 32,20,https://www.daikin-hbl.de/en/match/4d1ff9b2-4374-11ef-8ac9-1dc999edcc18
"Feb 22, 2025",VfL Gummersbach,Rhein-Neckar Löwen,36 - 25,20,https://www.daikin-hbl.de/en/match/4fd68ba8-4374-11ef-898c-8d4449e592cf
"Feb 21, 2025",ThSV Eisenach,SC DHfK Leipzig,34 - 34,20,https://www.daikin-hbl.de/en/match/501d6e5d-4374-11ef-bf83-416d1b9fdc63
"Feb 21, 2025",1. VfL Potsdam,TBV Lemgo Lippe,21 - 22,20,https://www.daikin-hbl.de/en/match/51495f3a-4374-11ef-a13e-416d1b9fdc63
"Feb 20, 2025",Handball Sport Verein Hamburg,SG BBM Bietigheim,37 - 36,20,https://www.daikin-hbl.de/en/match/51f3d49b-4374-11ef-a768-1dc999edcc18
"Feb 20, 2025",THW Kiel,HC Erlangen,28 - 24,20,https://www.daikin-hbl.de/en/match/521b0cea-4374-11ef-a375-8d4449e592cf
"Feb 17, 2025",FRISCH AUF! Göppingen,ThSV Eisenach,31 - 27,19,https://www.daikin-hbl.de/en/match/478d82c6-4374-11ef-a9c6-07b53bf1eaa1
"Feb 16, 2025",HC Erlangen,Handball Sport Verein Hamburg,29 - 35,19,https://www.daikin-hbl.de/en/match/48e5981c-4374-11ef-8893-8d4449e592cf
"Feb 16, 2025",TBV Lemgo Lippe,Füchse Berlin,25 - 25,19,https://www.daikin-hbl.de/en/match/49bfce3b-4374-11ef-af1b-1dc999edcc18
"Feb 16, 2025",HSG Wetzlar,THW Kiel,27 - 25,19,https://www.daikin-hbl.de/en/match/4b00073a-4374-11ef-8637-5fab4221e9e9
"Feb 16, 2025",SC Magdeburg,MT Melsungen,29 - 28,19,https://www.daikin-hbl.de/en/match/485f9d05-4374-11ef-a190-5f72580bf97b
"Feb 15, 2025",SG Flensburg-Handewitt,VfL Gummersbach,35 - 30,19,https://www.daikin-hbl.de/en/match/4a6bfd35-4374-11ef-9196-95e83344d76f
"Feb 13, 2025",Rhein-Neckar Löwen,SG BBM Bietigheim,36 - 30,19,https://www.daikin-hbl.de/en/match/4b6df890-4374-11ef-848b-1dc999edcc18
"Feb 13, 2025",TVB Stuttgart,TSV Hannover-Burgdorf,27 - 35,19,https://www.daikin-hbl.de/en/match/4becf850-4374-11ef-8f04-5fab4221e9e9
"Feb 10, 2025",ThSV Eisenach,TBV Lemgo Lippe,34 - 31,18,https://www.daikin-hbl.de/en/match/44c79fb9-4374-11ef-82d1-416d1b9fdc63
"Feb 9, 2025",Füchse Berlin,1. VfL Potsdam,36 - 19,18,https://www.daikin-hbl.de/en/match/42d8f339-4374-11ef-9e56-cd77cb69a9df
"Feb 9, 2025",TSV Hannover-Burgdorf,SC DHfK Leipzig,24 - 23,18,https://www.daikin-hbl.de/en/match/40bbdcdf-4374-11ef-b288-416d1b9fdc63
"Feb 9, 2025",HC Erlangen,SG Flensburg-Handewitt,26 - 32,18,https://www.daikin-hbl.de/en/match/41a268cf-4374-11ef-b8e9-07b53bf1eaa1
"Feb 9, 2025",SG BBM Bietigheim,HSG Wetzlar,27 - 28,18,https://www.daikin-hbl.de/en/match/43a964dd-4374-11ef-8a16-95e83344d76f
"Feb 9, 2025",Handball Sport Verein Hamburg,Rhein-Neckar Löwen,30 - 30,18,https://www.daikin-hbl.de/en/match/455a60a1-4374-11ef-ae3e-5f411ff1ae1b
"Feb 8, 2025",VfL Gummersbach,TVB Stuttgart,36 - 29,18,https://www.daikin-hbl.de/en/match/448433c0-4374-11ef-a511-cd77cb69a9df
"Feb 8, 2025",THW Kiel,SC Magdeburg,31 - 25,18,https://www.daikin-hbl.de/en/match/45bb3a8c-4374-11ef-8f1a-07b53bf1eaa1
"Feb 8, 2025",MT Melsungen,FRISCH AUF! Göppingen,30 - 23,18,https://www.daikin-hbl.de/en/match/41440034-4374-11ef-86ec-95e83344d76f
"Dec 27, 2024",SC DHfK Leipzig,TSV Hannover-Burgdorf,30 - 32,17,https://www.daikin-hbl.de/en/match/3ada8405-4374-11ef-a851-07b53bf1eaa1
