Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Feb 7, 2024",THW Kiel,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/9c24f07d-439a-11ef-8d89-851b97c1dfba
"Feb 7, 2024",TSV Hannover-Burgdorf,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/9bd9776e-3961-11ef-baa2-2d4c63b0970e
"Feb 7, 2024",FRISCH AUF! Göppingen,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/9bf14d40-3961-11ef-a967-2d4c63b0970e
"Feb 7, 2024",HSG Wetzlar,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/9c2fb6ef-3961-11ef-abbf-2d4c63b0970e
"Dec 23, 2023",TBV Lemgo Lippe,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/9b4dca60-3961-11ef-8e46-2d4c63b0970e
"Dec 23, 2023",TVB Stuttgart,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/9b747afd-3961-11ef-a368-2d4c63b0970e
"Dec 23, 2023",ThSV Eisenach,HC Erlangen,,,https://www.daikin-hbl.de/en/match/9b9bbbc1-3961-11ef-839c-2d4c63b0970e
"Dec 23, 2023",Bergischer HC,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/9b606f77-3961-11ef-830a-2d4c63b0970e
"Dec 22, 2023",TSV Hannover-Burgdorf,MT Melsungen,,,https://www.daikin-hbl.de/en/match/9afe0bbb-3961-11ef-b430-2d4c63b0970e
"Dec 22, 2023",Füchse Berlin,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/9b1106af-3961-11ef-8810-2d4c63b0970e
"Dec 22, 2023",HBW Balingen-Weilstetten,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/9b237bc6-3961-11ef-8c84-2d4c63b0970e
"Dec 22, 2023",SC Magdeburg,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/9b378598-3961-11ef-af6f-2d4c63b0970e
"Dec 20, 2023",THW Kiel,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/9ae96836-3961-11ef-9a49-2d4c63b0970e
"Dec 20, 2023",MT Melsungen,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/940305e2-3961-11ef-93e8-2d4c63b0970e
"Dec 20, 2023",FRISCH AUF! Göppingen,Bergischer HC,,,https://www.daikin-hbl.de/en/match/9425794f-3961-11ef-957a-2d4c63b0970e
"Dec 20, 2023",HSG Wetzlar,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/9ac27c0c-3961-11ef-8ca3-2d4c63b0970e
"Dec 20, 2023",Rhein-Neckar Löwen,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/9ad61329-3961-11ef-92d4-2d4c63b0970e
"Dec 19, 2023",Handball Sport Verein Hamburg,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/94151d3a-3961-11ef-b45a-2d4c63b0970e
"Dec 19, 2023",HC Erlangen,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/94378f44-3961-11ef-b2dd-2d4c63b0970e
"Dec 19, 2023",Füchse Berlin,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/944c502a-3961-11ef-91c9-2d4c63b0970e
"Dec 19, 2023",SG Flensburg-Handewitt,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/9aaa0693-3961-11ef-a620-2d4c63b0970e
"Dec 17, 2023",TSV Hannover-Burgdorf,Bergischer HC,,,https://www.daikin-hbl.de/en/match/936c720b-3961-11ef-bf4d-2d4c63b0970e
"Dec 17, 2023",SC DHfK Leipzig,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/9380756d-3961-11ef-9880-2d4c63b0970e
"Dec 16, 2023",Handball Sport Verein Hamburg,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/935b0ca6-3961-11ef-b576-2d4c63b0970e
"Dec 16, 2023",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/9392d2ed-3961-11ef-bf2a-2d4c63b0970e
"Dec 16, 2023",TBV Lemgo Lippe,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/93b501e3-3961-11ef-8e09-2d4c63b0970e
"Dec 16, 2023",HSG Wetzlar,MT Melsungen,,,https://www.daikin-hbl.de/en/match/93c63979-3961-11ef-a80e-2d4c63b0970e
"Dec 16, 2023",SC Magdeburg,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/93a41599-3961-11ef-8649-2d4c63b0970e
"Dec 15, 2023",ThSV Eisenach,THW Kiel,,,https://www.daikin-hbl.de/en/match/93ea46c6-3961-11ef-9d4d-2d4c63b0970e
"Dec 15, 2023",TVB Stuttgart,HC Erlangen,,,https://www.daikin-hbl.de/en/match/93d7d855-3961-11ef-8a50-2d4c63b0970e
"Dec 10, 2023",Füchse Berlin,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/92ed8c68-3961-11ef-94d3-2d4c63b0970e
"Dec 10, 2023",HBW Balingen-Weilstetten,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/92c90d20-3961-11ef-a9ef-2d4c63b0970e
"Dec 10, 2023",Bergischer HC,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/93005737-3961-11ef-b35f-2d4c63b0970e
"Dec 10, 2023",MT Melsungen,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/92b75d39-3961-11ef-9c52-2d4c63b0970e
"Dec 9, 2023",HC Erlangen,THW Kiel,,,https://www.daikin-hbl.de/en/match/92db03ba-3961-11ef-8b6b-2d4c63b0970e
"Dec 9, 2023",Rhein-Neckar Löwen,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/93262182-3961-11ef-b644-2d4c63b0970e
"Dec 8, 2023",ThSV Eisenach,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/934990ca-3961-11ef-a831-2d4c63b0970e
