,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
238,26/10/2024,1. VfL Potsdam,VfL Gummersbach,26 - 28,8,,26,28,54,0,0
239,25/10/2024,HC Erlangen,THW Kiel,28 - 37,8,,28,37,65,0,1
240,25/10/2024,SG Flensburg-Handewitt,HSG Wetzlar,36 - 22,8,,36,22,58,1,0
241,24/10/2024,SC DHfK Leipzig,MT Melsungen,27 - 28,8,,27,28,55,0,0
242,24/10/2024,Handball Sport Verein Hamburg,TSV Hannover-Burgdorf,32 - 32,8,,32,32,64,0,1
243,20/10/2024,TBV Lemgo Lippe,TVB Stuttgart,28 - 24,7,,28,24,52,1,0
244,20/10/2024,SC Magdeburg,SC DHfK Leipzig,35 - 29,7,,35,29,64,1,1
245,20/10/2024,TSV Hannover-Burgdorf,SG Flensburg-Handewitt,31 - 30,7,,31,30,61,1,1
246,19/10/2024,THW Kiel,1. VfL Potsdam,27 - 23,7,,27,23,50,1,0
247,19/10/2024,MT Melsungen,Füchse Berlin,33 - 31,7,,33,31,64,1,1
248,18/10/2024,FRISCH AUF! Göppingen,SG BBM Bietigheim,30 - 25,7,,30,25,55,1,0
249,18/10/2024,VfL Gummersbach,ThSV Eisenach,34 - 32,7,,34,32,66,1,1
250,17/10/2024,HSG Wetzlar,Handball Sport Verein Hamburg,31 - 26,7,,31,26,57,1,0
251,17/10/2024,Rhein-Neckar Löwen,HC Erlangen,38 - 33,7,,38,33,71,1,1
252,14/10/2024,SC DHfK Leipzig,HC Erlangen,32 - 25,6,,32,25,57,1,0
253,13/10/2024,1. VfL Potsdam,TSV Hannover-Burgdorf,22 - 27,6,,22,27,49,0,0
254,13/10/2024,Füchse Berlin,Rhein-Neckar Löwen,34 - 27,6,,34,27,61,1,1
255,12/10/2024,SG Flensburg-Handewitt,SC Magdeburg,27 - 29,6,,27,29,56,0,0
256,12/10/2024,FRISCH AUF! Göppingen,VfL Gummersbach,24 - 24,6,,24,24,48,0,0
257,11/10/2024,ThSV Eisenach,HSG Wetzlar,30 - 22,6,,30,22,52,1,0
258,11/10/2024,Handball Sport Verein Hamburg,THW Kiel,25 - 31,6,,25,31,56,0,0
259,10/10/2024,SG BBM Bietigheim,TBV Lemgo Lippe,23 - 28,6,,23,28,51,0,0
260,10/10/2024,TVB Stuttgart,MT Melsungen,27 - 36,6,,27,36,63,0,1
261,07/10/2024,SC Magdeburg,FRISCH AUF! Göppingen,31 - 24,5,,31,24,55,1,0
262,07/10/2024,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,30 - 27,5,,30,27,57,1,0
263,06/10/2024,HC Erlangen,1. VfL Potsdam,23 - 19,5,,23,19,42,1,0
264,06/10/2024,VfL Gummersbach,SG Flensburg-Handewitt,29 - 29,5,,29,29,58,0,0
265,06/10/2024,TBV Lemgo Lippe,SC DHfK Leipzig,33 - 28,5,,33,28,61,1,1
266,06/10/2024,HSG Wetzlar,Füchse Berlin,25 - 34,5,,25,34,59,0,0
267,05/10/2024,THW Kiel,TVB Stuttgart,29 - 24,5,,29,24,53,1,0
268,05/10/2024,TSV Hannover-Burgdorf,ThSV Eisenach,28 - 26,5,,28,26,54,1,0
269,05/10/2024,MT Melsungen,SG BBM Bietigheim,26 - 24,5,,26,24,50,1,0
270,29/09/2024,TVB Stuttgart,HSG Wetzlar,23 - 26,4,,23,26,49,0,0
